"Mod ID","Mod name","Mod version"
"com_github_jdiemke_delaunay-triangulator_delaunaytriangulator","DelaunayTriangulator","1.0.0"
"com_github_zsoltmolnarrr_tinyconfig","TinyConfig","2.3.2"
"com_ibm_async_asyncutil","asyncutil","0.1.0"
"com_moulberry_mixinconstraints","mixinconstraints","1.0.1"
"com_teamresourceful_bytecodecs","bytecodecs","1.0.2"
"com_teamresourceful_yabn","yabn","1.0.3"
"com_twelvemonkeys_common_common-image","common-image","3.12.0"
"com_twelvemonkeys_common_common-io","common-io","3.12.0"
"com_twelvemonkeys_common_common-lang","common-lang","3.12.0"
"com_twelvemonkeys_imageio_imageio-core","imageio-core","3.12.0"
"com_twelvemonkeys_imageio_imageio-metadata","imageio-metadata","3.12.0"
"com_twelvemonkeys_imageio_imageio-webp","imageio-webp","3.12.0"
"com_velocitypowered_velocity-native","velocity-native","3.2.0-SNAPSHOT"
"combatroll","Combat Roll","1.3.3+1.20.1"
"comforts","Comforts","6.4.0+1.20.1"
"common-protection-api","Common Protection API","1.0.0"
"commonnetworking","Common Network","1.0.5-1.20.1"
"conditional-mixin","conditional mixin","0.3.2"
"configlibtxf","ConfigLib TXF","4.2.8-fabric"
"connectiblechains","Connectible Chains","2.5.7+1.20.1"
"continuity","Continuity","3.0.0+1.20.1"
"controlling","Controlling For Fabric","12.0.2"
"cornexpansion","[Let's Do Addon] Corn Expansion","1.0.4"
"cratedelight","Crate Delight","25.9.22-1.20-fabric"
"creativecore","CreativeCore","2.12.36"
"creeperoverhaul","Creeper Overhaul","3.0.2"
"cristellib","Cristel Lib","1.1.5"
"crittersandcompanions","Critters and Companions","1.20.1-2.3.5"
"ctov","ChoiceTheorem's Overhauled Village","3.4.14"
"cutthrough","Cut Through","8.0.2"
"dark-loading-screen","Dark Loading Screen","1.6.14"
"dataanchor","Data Anchor","1.0.0.20"
"decorative_blocks","Decorative Blocks","4.1.3"
"dehydration","Dehydration","1.3.6"
"dev_matrixlab_webp4j","webp4j","1.3.0"
"diagonalblocks","Diagonal Blocks","8.0.6"
"diagonalfences","Diagonal Fences","8.1.5"
"diagonalwalls","Diagonal Walls","8.0.4"
"diagonalwindows","Diagonal Windows","8.1.5"
"distanthorizons","Distant Horizons","3.0.3-b"
"doapi","[Let's Do] API","1.2.14"
"easyanvils","Easy Anvils","8.0.2"
"easymagic","Easy Magic","8.0.1"
"eatinganimationid","Eating Animation","1.20+1.9.61"
"ecologics","Ecologics","2.2.4"
"effective","Effective","2.3.2-1.20.1"
"effortless","Effortless Structure","3.4.0"
"elemental_wizards_rpg","Elemental Wizards (RPG Class)","1.3.6-1.20.1"
"elytra_trinket","Elytra Trinket","1.0.3"
"emi","EMI","1.1.24+1.20.1+fabric"
"emi_enchanting","EMI Enchanting","0.1.2+1.20.1"
"emi_letsdo_compat","emi-letsdo-compat","1.8.1"
"emi_loot","EMI Loot","0.7.9+1.20.1+fabric"
"enchdesc","EnchantmentDescriptions","17.1.21"
"enderchests","EnderChests","1.20.1-1.4"
"endermanoverhaul","Enderman Overhaul","1.0.4"
"enhancedblockentities","Enhanced Block Entities","0.9+1.20"
"entity_model_features","Entity Model Features","3.2.4"
"entity_texture_features","Entity Texture Features","7.1"
"entityculling","EntityCulling","1.10.2"
"euphoria_patcher","Euphoria Patcher","1.9.0-r5.8-fabric"
"expandability","ExpandAbility","9.0.4"
"explorerscompass","Explorer's Compass","1.20.1-2.6.0-fabric"
"explorify","Explorify","1.6.5"
"explosiveenhancement","Explosive Enhancement","1.3.2-1.20-1.20.4"
"extshape","Extended Block Shapes","3.1.0"
"extshape_blockus","Extended Block Shapes - Blockus","3.1.0"
"fabric-api","Fabric API","0.92.9+1.20.1"
"fabric-api-base","Fabric API Base","0.4.32+1802ada577"
"fabric-api-lookup-api-v1","Fabric API Lookup API (v1)","1.6.37+1802ada577"
"fabric-biome-api-v1","Fabric Biome API (v1)","13.0.15+93aa238b77"
"fabric-block-api-v1","Fabric Block API (v1)","1.0.12+1802ada577"
"fabric-block-view-api-v2","Fabric BlockView API (v2)","1.0.3+924f046a77"
"fabric-blockrenderlayer-v1","Fabric BlockRenderLayer Registration (v1)","1.1.42+1802ada577"
"fabric-client-tags-api-v1","Fabric Client Tags","1.1.3+1802ada577"
"fabric-command-api-v1","Fabric Command API (v1)","1.2.35+f71b366f77"
"fabric-command-api-v2","Fabric Command API (v2)","2.2.14+1802ada577"
"fabric-commands-v0","Fabric Commands (v0)","0.2.52+df3654b377"
"fabric-containers-v0","Fabric Containers (v0)","0.1.68+df3654b377"
"fabric-content-registries-v0","Fabric Content Registries (v0)","4.0.13+1802ada577"
"fabric-convention-tags-v1","Fabric Convention Tags","1.5.6+1802ada577"
"fabric-crash-report-info-v1","Fabric Crash Report Info (v1)","0.2.20+1802ada577"
"fabric-data-attachment-api-v1","Fabric Data Attachment API (v1)","1.0.2+de0fd6d177"
"fabric-data-generation-api-v1","Fabric Data Generation API (v1)","12.3.9+1802ada577"
"fabric-dimensions-v1","Fabric Dimensions API (v1)","2.1.55+1802ada577"
"fabric-entity-events-v1","Fabric Entity Events (v1)","1.6.1+1c78457f77"
"fabric-events-interaction-v0","Fabric Events Interaction (v0)","0.6.6+13a40c6677"
"fabric-events-lifecycle-v0","Fabric Events Lifecycle (v0)","0.2.64+df3654b377"
