"Mod ID","Mod name","Mod version"
"structurized-reborn","Structurized Reborn","1.20.1-01"
"supermartijn642corelib","SuperMartijn642's Core Lib","1.1.21"
"supplementaries","Supplementaries","1.20-3.1.43"
"suppsquared","Supplementaries Squared","1.20-1.1.29"
"sushi_bar","Sushi Bar","0.2.2+1.20"
"t_and_t","Towns and Towers","1.12"
"tcdcommons","TCD Commons API","3.12.3.3+fabric-1.20.1"
"team_reborn_energy","Energy","3.0.0"
"tellme","TellMe","0.9.1"
"terrablender","TerraBlender","3.0.1.10"
"terraform-wood-api-v1","Terraform Wood API (v1)","7.0.3"
"thermoo","Thermoo","2.3.3"
"thermoo-patches","Thermoo Patches","1.1"
"threadtweak","ThreadTweak","1.20.2-0.1.1"
"tinyskeletons","Tiny Skeletons","8.0.1"
"tooltipfix","ToolTip Fix","1.1.1-1.20"
"trade_cycling","Trade Cycling","1.20.1-1.0.18"
"transition","TRansition","1.0.19"
"trashcans","Trash Cans","1.0.18"
"treechop","HT's TreeChop","0.19.0"
"trender","TRender","1.0.13"
"trinkets","Trinkets","3.7.2"
"trmt","TRMT","0.5-1.20+1.20.1"
"trowel","Trowel","1.3.0-1.20"
"tweed5_annotation_inheritance","Tweed 5 Annotation Inheritance","0.8.1"
"tweed5_attributes_extension","Tweed 5 Attributes Extension","0.8.1"
"tweed5_bundle","Tweed 5 Bundle","0.8.1"
"tweed5_bundle_pojo_weaving","Tweed 5 Bundle for POJO weaving","0.8.1"
"tweed5_coat_bridge","Tweed 5 Coat Bridge","0.8.1+mc1.20.6"
"tweed5_comment_loader_extension","Tweed 5 Comment Loader Extension","0.8.1"
"tweed5_construct","Tweed 5 Construct","0.8.1"
"tweed5_core","Tweed 5 Core","0.8.1"
"tweed5_default_extensions","Tweed 5 Default Extensions","0.8.1"
"tweed5_fabric_helper","Tweed 5 Fabric Helper","0.8.1+mc1.20.6"
"tweed5_logging","Tweed 5 Logging","0.8.1"
"tweed5_naming_format","Tweed 5 Naming Format","0.8.1"
"tweed5_networking","Tweed 5 Netwoking","0.8.1+mc1.20.6"
"tweed5_patchwork","Tweed 5 Patchwork","0.8.1"
"tweed5_serde_api","Tweed 5 Serde API","0.8.1"
"tweed5_serde_extension","Tweed 5 Serde Extension","0.8.1"
"tweed5_serde_gson","Tweed 5 Gson","0.8.1"
"tweed5_serde_hjson","Tweed 5 Hjson","0.8.1"
"tweed5_type_utils","Tweed 5 Type Utils","0.8.1"
"tweed5_utils","Tweed 5 Utils","0.8.1"
"tweed5_weaver_pojo","Tweed 5 Weaver POJO","0.8.1"
"tweed5_weaver_pojo_attributes_extension","Attributes Extension for Tweed5 Weaver POJO","0.8.1"
"tweed5_weaver_pojo_presets_extension","Presets Extension for Tweed 5 Weaver POJO","0.8.1"
"tweed5_weaver_pojo_serde_extension","Serde Extension for Tweed 5 Weaver POJO","0.8.1"
"tweed5_weaver_pojo_validation_extension","Validation Extension for Tweed 5 Weaver POJO","0.8.1"
"underground_bunkers","Underground Bunkers","1.0.3"
"undergroundbeacons","Underground Beacons","1.0"
"universal-graves","Universal Graves","3.0.3+1.20.1"
"untitledduckmod","Untitled Duck Mod","1.5.2"
"vc_gliders","Gliders","1.2.0"
"veinmining","Vein Mining","1.5.0+1.20.1"
"via_romana","Via Romana","2.2.2+1.20.1-fabric"
"villagernames","Villager Names","8.4"
"vinery","[Let's Do] Vinery","1.4.41"
"visuality","Visuality","0.7.1+1.20"
"wakes","Wakes","0.4.0+1.20.1"
"walljump","Wall-Jump TXF","1.20.1-1.3.5-fabric"
"waystones","Waystones","14.1.20"
"whitenoise","WhiteNoise","1.1.1"
"wildernature","[Let's Do] WilderNature","1.0.6"
"wizards","Wizards (RPG Series)","1.4.1+1.20.1"
"wunderlib","WunderLib","1.1.5"
"xaerolib","XaeroLib","1.1.15"
"xaerominimap","Xaero's Minimap","25.3.12"
"xaeroworldmap","Xaero's World Map","1.40.16"
"yet_another_config_lib_v3","YetAnotherConfigLib","3.6.6+1.20.1-fabric"
"yumi_commons_collections","Yumi Commons: Collections","1.0.0-beta.4"
"yumi_commons_core","Yumi Commons: Core","1.0.0-beta.4"
"yumi_commons_event","Yumi Commons: Event","1.0.0-beta.4"
"yungsapi","YUNG's API","1.20-Fabric-4.0.6"
"yungsextras","YUNG's Extras","1.20-Fabric-4.0.3"
"zoomify","Zoomify","2.15.2+1.20.1"
